faq_id,user_tier,category,language,question,answer
FAQ_011_KI,Informal/Machinga,Mobile Money & Digital Banking,Kiswahili,"Je, kuna gharama zozote za ziada nikinunua LUKU au kulipia maji kupitia menu ya simu?","Ndio, kuna makato madogo ya miamala (tariffs) yanayotofautiana kulingana na kiasi na mtandao wa simu, yaliyothibitishwa na TCRA."
FAQ_011_EN,Informal/Machinga,Mobile Money & Digital Banking,English,Are there any extra charges when buying LUKU electricity or paying water bills via mobile menus?,"Yes, small transaction tariffs apply depending on the amount and network provider, which are fully regulated by TCRA."
FAQ_012_KI,Informal/Machinga,Mobile Money & Digital Banking,Kiswahili,Ni kiwango gani cha juu cha fedha (Limit) kinachoweza kukaa kwenye line ambayo haijasajiliwa kwa NIDA?,"Line zisizosajiliwa kikamilifu zina vikwazo vikubwa, salio haliwezi kuzidi TZS 500,000 na huwezi kufanya miamala mikubwa ya kila siku."
FAQ_012_EN,Informal/Machinga,Mobile Money & Digital Banking,English,What is the maximum wallet limit for a SIM card that is not fully registered with NIDA?,"Line profiles without full NIDA registration have strict limits; their balance cannot exceed TZS 500,000, and they cannot run large transactions."
FAQ_013_KI,Informal/Machinga,Business Formalization & Insurance,Kiswahili,Nini faida ya kukata bima ndogo ya afya kama iCHF kwa mmachinga?,"iCHF inakusaidia kupata matibabu kwenye zahanati na hospitali za serikali kwa gharama nafuu, hivyo kulinda mtaji wako usipotee ukiugua."
FAQ_013_EN,Informal/Machinga,Business Formalization & Insurance,English,What is the benefit of a micro-health insurance like iCHF for a street vendor?,"iCHF covers medical treatments at public dispensaries and hospitals affordably, protecting your business capital from medical emergencies."
FAQ_014_KI,Informal/Machinga,Business Formalization & Insurance,Kiswahili,"Je, naweza kutumia jina langu la biashara bila kulisajili BRELA?","Unaweza kulitumia mtaani, lakini huna haki nalo kisheria. Mtu mwingine anaweza kulisajili BRELA na ukapigwa marufuku kulitumia."
FAQ_014_EN,Informal/Machinga,Business Formalization & Insurance,English,Can I use my business name without officially registering it at BRELA?,"You can use it informally, but you have no legal ownership. Someone else can register it at BRELA and legally bar you from using it."
FAQ_015_KI,Informal/Machinga,Business Formalization & Insurance,Kiswahili,Bima ya kijamii inamsaidia vipi mtu aliyejiajiri kwenye sekta isiyo rasmi?,"Inakusaidia kuweka akiba ya uzeeni au kupata mikopo midogo, na kujikinga dhidi ya umaskini pindi nguvu za kufanya kazi zikiisha."
FAQ_015_EN,Informal/Machinga,Business Formalization & Insurance,English,How does micro-insurance support a self-employed person in the informal sector?,"It helps save for retirement, access small financial cushions, and protects against poverty when you are no longer able to work."
FAQ_016_KI,Micro,Savings & Investments,Kiswahili,"Nikiwa na akaunti ya NMB Kikundi, tunawezaje kuweka na kutoa pesa za duka letu?","Kuweka ni kupitia tawi au wakala. Kutoa kunahitaji saini za viongozi watatu waliosajiliwa (Mwenyekiti, Katibu, na Mweka Hazina)."
FAQ_016_EN,Micro,Savings & Investments,English,"With an NMB Kikundi account, how can we deposit and withdraw our shop savings?","Deposits are made via agents/branches. Withdrawals require joint approval from three registered leaders (Chairperson, Secretary, Treasurer)."
FAQ_017_KI,Micro,Savings & Investments,Kiswahili,"Je, akaunti ya akiba ya duka inazalisha riba CRDB na vigezo vyake ni nini?","Ndio, akaunti kama Bidii inatoa riba ya kila mwaka kwenye salio lako ikiwa hukutoa pesa ovyo na ukadumisha kiasi cha chini kilichowekwa."
FAQ_017_EN,Micro,Savings & Investments,English,Does a shop savings account earn interest at CRDB and what are the criteria?,"Yes, accounts like 'Bidii' yield annual interest on your balance provided you minimize withdrawals and maintain the required minimum balance."
FAQ_018_KI,Micro,Savings & Investments,Kiswahili,Nini tofauti ya akaunti ya akiba (Savings) na akaunti ya hundi (Current) kwa mjasiriamali?,"Akaunti ya akiba inatoa riba na ina kikomo cha kutoa fedha. Akaunti ya hundi haina riba, inaruhusu miamala mingi na ina vitabu vya hundi."
FAQ_018_EN,Micro,Savings & Investments,English,What is the difference between a savings and a current account for a micro-entrepreneur?,"A savings account earns interest but limits withdrawals. A current account earns no interest, offers unlimited transactions, and uses chequebooks."
FAQ_019_KI,Micro,Loans & Credit,Kiswahili,Nawezaje kuomba mkopo wa asilimia 10 wa Halmashauri kwa ajili ya kikundi cha kina mama?,"Omba kupitia Ofisi ya Maendeleo ya Jamii ya Wilaya. Vigezo ni kikundi kusajiliwa, kuwa na akaunti ya benki, na mradi unaoeleweka mtaani."
FAQ_019_EN,Micro,Loans & Credit,English,How can I apply for the 10% Municipal Council loan for a women's self-help group?,"Apply through the District Community Development Office. Criteria include a registered group, active bank account, and a viable project plan."
FAQ_020_KI,Micro,Loans & Credit,Kiswahili,"Je, taasisi za microfinance kama FINCA zinahitaji dhamana gani kwa mkopo wa mtu binafsi?","Zinahitaji dhamana za vifaa vya ndani, vyombo vya biashara, wadhamini wawili, na barua ya utambulisho kutoka Serikali ya Mtaa wako."
FAQ_020_EN,Micro,Loans & Credit,English,What collateral do microfinance institutions like FINCA require for individual loans?,"They accept household items, business equipment, two personal guarantors, and an introduction letter from your Local Government Leader."
FAQ_021_KI,Micro,Loans & Credit,Kiswahili,Nifanye nini nikishindwa kulipa marejesho ya mkopo kwa wakati kutokana na biashara kushuka?,Nenda benki mara moja kuongea na afisa mikopo. Unaweza kuomba marekebisho ya mkataba (Loan Restructuring) ili kupunguza marejesho ya mwezi.
FAQ_021_EN,Micro,Loans & Credit,English,What should I do if I fail to pay loan installments on time due to a drop in business sales?,Visit your bank immediately to consult your credit officer. You can request loan restructuring to reduce monthly installments by extending time.
FAQ_022_KI,Micro,Taxes & Regulation,Kiswahili,"Biashara yangu iko ngazi ya Micro, ninatakiwa kulipa kodi gani TRA na ninahesabiwaje?",Unalipa kodi ya makadirio (Presumptive Tax) kulingana na mauzo ya mwaka. Mauzo chini ya milioni 4 yanasamehewa kodi ya mapato ya TRA.
FAQ_022_EN,Micro,Taxes & Regulation,English,"My business is at a micro level, what tax do I owe TRA and how am I assessed?",You pay presumptive tax based on estimated annual turnover. Turnovers below TZS 4 million are legally exempt from TRA income tax.
FAQ_023_KI,Micro,Taxes & Regulation,Kiswahili,Nawezaje kupata namba ya TIN ya biashara bure kutoka TRA?,"Nenda ofisi ya TRA ya wilaya yako ukiwa na kitambulisho cha NIDA, barua ya mtaa, na mkataba wa pango la duka kama unalo."
FAQ_023_EN,Micro,Taxes & Regulation,English,How can I obtain a business TIN number for free from TRA?,"Visit your local district TRA office with your NIDA ID, a local government intro letter, and a shop rental lease agreement if applicable."
FAQ_024_KI,Micro,Taxes & Regulation,Kiswahili,Nini maana ya kodi ya pango ya biashara (Withholding Tax on Rent) kwa mpangaji wa duka?,Ni kodi ya zuio ya 10% ambapo mpangaji anaikata kutoka kwenye kodi anayomlipa mwenye nyumba na kuiwasilisha TRA kwa niaba yake.
FAQ_024_EN,Micro,Taxes & Regulation,English,What does business rent withholding tax mean for a micro-shop tenant?,It is a 10% withholding tax where the tenant legally deducts it from the rent paid to the landlord and remits it directly to TRA.
FAQ_025_KI,Micro,Mobile Money & Digital Banking,Kiswahili,Mjasiriamali mdogo anawezaje kupata msimbo wa 'Lipa Namba' kwa ajili ya kupokea malipo?,Wasilisha nakala ya TIN au NIDA kwenye mitandao ya simu au benki kupata Lipa Namba inayoruhusu wateja wa mitandao yote kukulipa.
FAQ_025_EN,Micro,Mobile Money & Digital Banking,English,How can a micro-merchant get a 'Lipa Namba' merchant code to accept digital payments?,Submit your TIN or NIDA copy to telecom operators or commercial banks to secure a Lipa Namba that accepts multi-network customer payments.
FAQ_026_KI,Micro,Mobile Money & Digital Banking,Kiswahili,Inachukua muda gani kwa malipo ya Lipa Namba kuingia kwenye akaunti yangu ya benki?,"Kama Lipa Namba imeunganishwa na benki, fedha huhamishwa kwa makundi (settlement batch) ndani ya siku hiyo hiyo au kesho yake asubuhi."
FAQ_026_EN,Micro,Mobile Money & Digital Banking,English,How long does it take for a Lipa Namba merchant payment to reflect in my linked bank account?,"If your Lipa Namba is linked directly to a bank, funds clear within the same day or overnight through automated batch settlements."
FAQ_027_KI,Micro,Mobile Money & Digital Banking,Kiswahili,"Je, kuna makato yoyote kwa mfanyabiashara anapopokea malipo kupitia Lipa Namba?","Kupokea fedha ni bure kwa mfanyabiashara, lakini makato kidogo yanaweza kutozwa kwa mteja anayetuma kulingana na sheria za TCRA."
FAQ_027_EN,Micro,Mobile Money & Digital Banking,English,Are there any transaction deductions when a micro-merchant receives money via Lipa Namba?,"Receiving funds is usually free for the merchant, while the paying customer is charged a small fee according to standard TCRA tariffs."
FAQ_028_KI,Micro,Business Formalization & Insurance,Kiswahili,"Je, kuna faida gani kubadilisha duka langu kuwa Jina la Biashara rasmi (Sole Proprietorship)?","Inakulinda mtu mwingine asitumie jina lako BRELA, inakuwezesha kufungua akaunti ya benki ya biashara na kuomba mikopo mikubwa."
FAQ_028_EN,Micro,Business Formalization & Insurance,English,What is the advantage of upgrading my shop into a registered Business Name (Sole Proprietorship)?,"It secures your business name at BRELA to block copycats, allows opening business bank accounts, and builds commercial loan viability."
FAQ_029_KI,Micro,Business Formalization & Insurance,Kiswahili,Nini faida ya kuwa na bima ya moto na majanga kwa duka ndogo la bidhaa?,"Bima ya mali (Property Insurance) inakufidia thamani ya bidhaa zako pindi duka linapoungua au kukumbwa na mafuriko, kuzuia ufilisiki."
FAQ_029_EN,Micro,Business Formalization & Insurance,English,What is the benefit of having fire and disaster insurance for a micro-retail shop?,"Property insurance compensates the audited value of your stock if your shop is gutted by fire or flooded, preventing permanent bankruptcy."
FAQ_030_KI,Micro,Business Formalization & Insurance,Kiswahili,Inachukua muda gani kupata leseni ya biashara daraja B kutoka Halmashauri?,"Ukishakuwa na TIN na cheti cha afya, leseni ya daraja B inatoka ndani ya siku 1 hadi 3 za kazi kupitia mfumo wa mtandaoni wa TAUSI."
FAQ_030_EN,Micro,Business Formalization & Insurance,English,How long does it take to get a Class B business license from the Municipal Council?,"Once you hold a TIN and required health clearances, a Class B license is processed within 1 to 3 business days via the TAUSI portal."
FAQ_031_KI,SME,Savings & Investments,Kiswahili,Kampuni ya SME inawezaje kuwekeza fedha za ziada (Surplus cash) kupitia UTT AMIS kupata faida?,SME inaweza kufungua akaunti ya taasisi na kuweka mtaji kwenye Mfuko wa Ukwasi (Liquid Fund) ili upate faida ya kila siku huku ukitoa muda wowote.
FAQ_031_EN,SME,Savings & Investments,English,How can an SME invest its surplus operational cash through UTT AMIS to earn corporate interest?,An SME can open an institutional profile and invest in the Liquid Fund to accumulate daily compounding returns while retaining flexible withdrawals.
FAQ_032_KI,SME,Savings & Investments,Kiswahili,"Je, kuna umuhimu gani kwa SME kununua Hatifungani za Serikali (Treasury Bonds) za muda mrefu?","Hatifungani hutoa faida kubwa ya uhakika isiyo na kodi (tax-free interest) kila miezi 6, na unaweza kuzitumia kama dhamana imara ya mikopo ya benki."
FAQ_032_EN,SME,Savings & Investments,English,What is the strategic value for an SME to purchase long-term government Treasury Bonds?,"Treasury bonds yield secure, tax-free coupon interest paid semi-annually, and the bond certificate serves as prime collateral for bank credit lines."
FAQ_033_KI,SME,Savings & Investments,Kiswahili,Nini masharti ya kufungua akaunti ya kudumu ya muda maalum (Fixed Deposit Account) kwa SME?,Unatakiwa kuweka kiasi fulani cha fedha (mfn: kuanzia Milioni 5) bila kukitoa kwa muda uliokubalika (miezi 3 hadi 12) ili upate riba kubwa ya ziada.
FAQ_033_EN,SME,Savings & Investments,English,What are the operational rules for opening a Fixed Deposit Account for an SME entity?,"You must lock a specific minimum amount (e.g., from TZS 5 Million) without withdrawals for a set tenor (3 to 12 months) to secure maximum interest."
FAQ_034_KI,SME,Loans & Credit,Kiswahili,Ni vigezo gani vikubwa vinavyohitajika ili kampuni yetu ya SME ipate mkopo wa biashara NBC?,"NBC inahitaji leseni, TIN, Memart ya kampuni, bank statements za miezi 6, hesabu zilizokaguliwa, na dhamana ya hati ya kiwanja au nyumba."
FAQ_034_EN,SME,Loans & Credit,English,What are the main requirements for our SME company to secure a business expansion loan at NBC?,"NBC mandates a business license, TIN, Memart, 6 months of bank statements, audited financials, and landed collateral like a title deed."
FAQ_035_KI,SME,Loans & Credit,Kiswahili,Nini maana ya 'Invoice Discounting' kama njia ya SME kupata mtaji wa haraka kutoka benki?,"Ni huduma ambapo benki inakupa mkopo wa hadi 80% ya thamani ya ankara (invoice) uliyomdai mteja wako mkubwa, ili uendelee na kazi bila kusubiri."
FAQ_035_EN,SME,Loans & Credit,English,What does 'Invoice Discounting' mean as a quick capital solution for SMEs from commercial banks?,"It is a facility where a bank advances you up to 80% of the value of an unpaid invoice issued to a reputable client, maintaining cash flow."
FAQ_036_KI,SME,Loans & Credit,Kiswahili,Mabenki ya Tanzania yanamaanisha nini wanaposema 'Collateral Haircut' kwenye kukopesha?,Ni asilimia ya punguzo inayowekwa kwenye thamani ya soko ya dhamana yako (mfn: nyumba ya m100 inathaminiwa kama m70) ili kulinda benki soko likishuka.
FAQ_036_EN,SME,Loans & Credit,English,What do Tanzanian banks mean by 'Collateral Haircut' during the credit appraisal process?,"It is the percentage discount applied to the market value of your collateral (e.g., a TZS 100M property valued at TZS 70M) to hedge against market drops."
FAQ_037_KI,SME,Taxes & Regulation,Kiswahili,Ni lini kampuni ya SME inalazimika kujisajili kwenye Kodi ya Ongezeko la Thamani (VAT) Tanzania?,SME lazima isajiliwe kwenye VAT na TRA ikiwa mauzo yake ghafi (gross turnover) yanafikia au kuzidi Shilingi Milioni 100 ndani ya miezi 12.
FAQ_037_EN,SME,Taxes & Regulation,English,When is an SME company legally required to register for Value Added Tax (VAT) in Tanzania?,An SME must register for VAT with TRA if its taxable gross annual turnover hits or exceeds TZS 100 Million within a consecutive 12-month period.
FAQ_038_KI,SME,Taxes & Regulation,Kiswahili,"Nikitumia mashine ya EFD ya TRA, inanisaidia vipi kurahisisha makadirio ya kodi ya mapato?","Mashine ya EFD inatunza kumbukumbu sahihi za mauzo yako mtandaoni, inazuia maafisa kodi kukukadiria kodi kubwa kiholela, na inaonyesha uwazi wa hesabu."
FAQ_038_EN,SME,Taxes & Regulation,English,How does utilizing a TRA EFD machine simplify the assessment of corporate income tax?,"An EFD machine logs your sales data in real-time to the TRA server, preventing arbitrary tax assessments and validating your audited books."
FAQ_039_KI,SME,Taxes & Regulation,Kiswahili,Ni kiwango gani cha kodi ya mapato (Corporate Tax) kinachotozwa kwa kampuni ya SME yenye Limited Liability?,Makampuni yote ya Limited Liability nchini yanatozwa kodi ya ushirika ya 30% kwenye faida safi ya mwaka (net profit) baada ya kutoa gharama halali.
FAQ_039_EN,SME,Taxes & Regulation,English,What is the statutory Corporate Tax rate charged on net profits of an incorporated SME company?,Incorporated companies are taxed at a standard Corporate Income Tax rate of 30% on net annual profits after deducting allowable business expenses.
FAQ_040_KI,SME,Mobile Money & Digital Banking,Kiswahili,"Je, ni kiwango gani cha juu cha uhamisho wa papo hapo wa benki kwenda benki (TISS) Tanzania?","Kwa mifumo ya kidijitali, benki huweka ukomo wa hadi milioni 5 kwa muamala. Kiasi kikubwa zaidi kinapitia mfumo wa TISS matawi ya benki."
FAQ_040_EN,SME,Mobile Money & Digital Banking,English,What is the maximum threshold for instant interbank transfers via TISS in Tanzania digital platforms?,"For retail digital channels, individual banks cap transactions up to TZS 5,000,000. Larger volumes run through the manual TISS clearing window."
FAQ_041_KI,SME,Mobile Money & Digital Banking,Kiswahili,SME inawezaje kufanya malipo ya mishahara ya wafanyakazi wengi kwa mkupuo mmoja (Bulk Payout)?,Unaweza kutumia mifumo ya 'Corporate Internet Banking' au dashboards za simu kupakia faili la Excel lenye namba na kiasi ili walipwe mara moja.
FAQ_041_EN,SME,Mobile Money & Digital Banking,English,How can an SME execute mass employee salary disbursements simultaneously (Bulk Payout)?,You can utilize Corporate Internet Banking portals or specialized telecom dashboards to upload an Excel file for automated batch payroll delivery.
FAQ_042_KI,SME,Mobile Money & Digital Banking,Kiswahili,Nini faida ya kuwa na mashine ya POS (Point of Sale) kutoka benki kwenye biashara ya SME?,"Inakuwezesha kupokea malipo ya kadi za Visa/Mastercard na Lipa Namba, inapunguza hatari ya kubeba fedha taslimu, na inaingiza pesa benki moja kwa moja."
FAQ_042_EN,SME,Mobile Money & Digital Banking,English,What is the core benefit of deploying a bank-issued POS (Point of Sale) terminal at an SME premises?,"It enables acceptance of international Visa/Mastercard and local merchant codes, eliminates cash handling risks, and routes revenue straight to the bank."
FAQ_043_KI,SME,Business Formalization & Insurance,Kiswahili,Nini maana ya 'Letter of Credit' (LC) tunapoagiza malighafi kutoka China kupitia CRDB?,"LC ni dhamana ya kibenki inayomhakikishia muuzaji wa nje kuwa atalipwa pindi akisafirisha mzigo kwa usahihi, ikilinda SME isitapeliwe mtaja wake."
FAQ_043_EN,SME,Business Formalization & Insurance,English,What is a 'Letter of Credit' (LC) when importing raw materials from China via CRDB Bank?,"An LC is a bank guarantee assuring the overseas exporter of payment upon presenting compliant shipping documents, mitigating SME import fraud risks."
FAQ_044_KI,SME,Business Formalization & Insurance,Kiswahili,"Je, ni lazima kwa SME kusajili biashara na kuchangia Mfuko wa Fidia kwa Wafanyakazi (WCF)?","Ndio, ni takwa la kisheria kwa waajiri wote kuchangia 0.5% ya jumla ya mishahara ya wafanyakazi kila mwezi kwenda WCF ili kulinda majeraha kazini."
FAQ_044_EN,SME,Business Formalization & Insurance,English,Is it legally mandatory for an SME employer to register and contribute to the Workers' Compensation Fund (WCF)?,"Yes, all employers in Tanzania must contribute 0.5% of their gross monthly payroll to WCF to cover workplace injury claims and compliance."
FAQ_045_KI,SME,Business Formalization & Insurance,Kiswahili,SME inawezaje kusajili bidhaa zake TBS ili kupata nembo ya ubora wa soko?,Wasilisha sampuli za bidhaa na nyaraka za usajili kupitia portal ya mtandaoni ya TBS. Wakaguzi watatembelea kiwanda chako kabla ya kutoa nembo.
FAQ_045_EN,SME,Business Formalization & Insurance,English,How can an SME register its locally manufactured goods with TBS for quality mark certification?,Submit product samples and registration files through the TBS online portal. Bureau inspectors will audit your facility prior to quality stamp issuance.
FAQ_046_KI,Formal Employee,Savings & Investments,Kiswahili,Mwajiriwa anawezaje kuangalia salio lake la akiba ya uzeeni NSSF au PSSSF kwa simu?,"Pakua NSSF Kipaji App au PSSSF Kiganjani App, au piga namba zao maalum za USSD ukitumia namba yako ya uanachama uliyopewa."
FAQ_046_EN,Formal Employee,Savings & Investments,English,How can a formal employee track their retirement pension balance at NSSF or PSSSF via mobile?,"Download the 'NSSF Kipaji App' or 'PSSSF Kiganjani App', or dial their dedicated USSD tracking shortcodes using your membership ID."
FAQ_047_KI,Formal Employee,Savings & Investments,Kiswahili,"Je, naweza kuweka akiba ya hiari (Voluntary Contribution) NSSF ili niongeze mafao ya baadae?","Ndio, NSSF inaruhusu wanachama kuweka michango ya ziada ya hiari kila mwezi kupitia namba ya udhibiti (Control Number) ili kukuza mafao."
FAQ_047_EN,Formal Employee,Savings & Investments,English,Can I make voluntary extra contributions to NSSF to boost my final retirement benefits?,"Yes, NSSF accommodates voluntary monthly surplus contributions generated via government control numbers to increase your compounding annuity payout."
FAQ_048_KI,Formal Employee,Savings & Investments,Kiswahili,Nini faida ya kufungua akaunti ya uwekezaji wa watoto kama CRDB Junior Jumbo?,"Inatoa riba kubwa ya kila mwaka, inalinda malengo ya baadae ya mtoto (kama ada), na inamzuia mzazi kutoa fedha ovyo kwa matumizi yasiyo na tija."
FAQ_048_EN,Formal Employee,Savings & Investments,English,What is the advantage of opening a child-centered investment account like CRDB Junior Jumbo?,"It awards competitive annual interest, secures dedicated funds for future school fees, and legally restricts arbitrary parental withdrawals."
FAQ_049_KI,Formal Employee,Loans & Credit,Kiswahili,"Je, naweza kutumia mshahara wangu kama dhamana ya kupata mkopo binafsi (Personal Loan) Absa?","Ndio, Absa inatoa mikopo ya mshahara (Salary Loans) isiyo na dhamana ya mali, ambapo mshahara wako unaoingia ndio unakuwa dhamana kuu."
FAQ_049_EN,Formal Employee,Loans & Credit,English,Can I leverage my monthly salary as primary collateral to secure an Absa personal loan?,"Yes, Absa offers unsecured personal salary loans where your monthly payroll routed through your account serves as the primary repayment source."
FAQ_050_KI,Formal Employee,Loans & Credit,Kiswahili,Hivi mkopo wa dharura wa mshahara (Salary Advance) kupitia simu una hasara gani?,Hasara yake kuu ni kuwa na ada kubwa ya usindikaji (processing fee) kwa muda mfupi na inakatwa yote mshahara unaofuata ukiingia.
FAQ_050_EN,Formal Employee,Loans & Credit,English,What are the financial downsides of taking an instant mobile salary advance from my bank?,"The main downside is the high processing fee relative to the short tenor, and the entire balance is auto-deducted from your very next paycheck."
FAQ_051_KI,Formal Employee,Loans & Credit,Kiswahili,Napata wapi mkopo wa muda mrefu wa nyumba (Mortgage Loan) na masharti yake yakoje?,Mabenki kama Azania na TCB yanatoa mikopo ya nyumba ya hadi miaka 15â€“20. Sharti kuu ni kuwa na mshahara thabiti na 1/3 ya take-home kutosha.
FAQ_051_EN,Formal Employee,Loans & Credit,English,Where can I access a long-term home mortgage loan and what are the structural rules?,Banks like Azania and TCB extend mortgages up to 15â€“20 years. Key rules include verifiable stable payroll and complying with the 1/3 take-home law.
FAQ_052_KI,Formal Employee,Taxes & Regulation,Kiswahili,Kodi ya PAYE inakatwaje kwenye mshahara wangu wa kila mwezi na viwango vyake vikoje?,"PAYE inakatwa na mwajiri kulingana na viwango vya TRA (Tax Bands). Mishahara chini ya 270,000 haikatwi kodi, na viwango vingine ni 9% hadi 30%."
FAQ_052_EN,Formal Employee,Taxes & Regulation,English,How is PAYE tax calculated on my monthly salary and what are the specific tax bands?,"PAYE is auto-deducted by the employer via TRA tax bands. Earnings under TZS 270,000 are exempt; upper bands scale from 9% up to 30%."
FAQ_053_KI,Formal Employee,Taxes & Regulation,Kiswahili,"Je, posho za likizo (Leave Allowance) au bonasi za mwisho wa mwaka zinakatwa kodi ya PAYE?","Ndio, chini ya Sheria ya Kodi ya Mapato, mapato yote yanayotokana na ajira (pamoja na posho na bonasi) yanajumuishwa kwenye kodi ya PAYE."
FAQ_053_EN,Formal Employee,Taxes & Regulation,English,Are annual leave allowances or year-end performance bonuses subjected to PAYE tax deductions?,"Yes, under the Income Tax Act, all cash benefits, allowances, and performance bonuses arising from employment are treated as gross taxable income under PAYE."
